driving_time,from_center,to_center
4.51,GOSOR,GAUTP
4.83,GOSOR,GESTP
5.72,GOSOR,GHSTP
4.48,GOSOR,GMHTP
0,GOSOR,GOSOR
7.56,GOSOR,HUNOR
6.9,GOSOR,NRSTP
6.21,GOSOR,AIBTP
7.07,GOSOR,BLATP
4.71,GOSOR,GBBTP
3.19,GOSOR,GFDTP
1.29,GOSOR,GJETP
4.48,GOSOR,GMIOR
6.57,GOSOR,LLXTP
6.12,GOSOR,NUTTP
6.12,GOSOR,NUWTP
7.97,GOSOR,AKTTP
6.83,GOSOR,BLETP
6.83,GOSOR,BLMTP
1.75,GOSOR,GBCTP
4.23,GOSOR,GFMTP
5.03,GOSOR,GKITP
4.64,GOSOR,GMLTP
3.68,GOSOR,GROTP
6.39,GOSOR,NAETP
8.6,GOSOR,SLOTP
5.53,GOSOR,AOETP
6.58,GOSOR,BLGTP
1.81,GOSOR,GBETP
6.61,GOSOR,GFRTP
5.33,GOSOR,GKKTP
4.6,GOSOR,GMNTP
5.15,GOSOR,GSTTP
6.46,GOSOR,NAVTP
5.46,GOSOR,AOLTP
9.62,GOSOR,CHROR
3.72,GOSOR,GBMTP
3.73,GOSOR,GGITP
5.33,GOSOR,GKLTP
3.68,GOSOR,GMRTP
5.61,GOSOR,GTUTP
6.46,GOSOR,NAMTP
6.46,GOSOR,NAWTP
5.97,GOSOR,AWDTP
9.71,GOSOR,COSTP
5.46,GOSOR,GBOTP
0.56,GOSOR,GHATP
5.21,GOSOR,GKMTP
4.46,GOSOR,GMZTP
3.58,GOSOR,GWZTP
5.45,GOSOR,NGRTP
6.02,GOSOR,AWGTP
9.91,GOSOR,CRITP
5.11,GOSOR,GBWOR
4.92,GOSOR,GHBTP
5.29,GOSOR,GKSTP
3,GOSOR,GNBTP
7.68,GOSOR,HBSTP
6.78,GOSOR,NLBTP
7.08,GOSOR,BANTP
9.47,GOSOR,CZATP
4.64,GOSOR,GBYOR
4.23,GOSOR,GHGTP
0.23,GOSOR,GLPTP
2.68,GOSOR,GNDOR
9.52,GOSOR,HDBTP
6.09,GOSOR,NMSTP
9.55,GOSOR,CZMTP
1.26,GOSOR,GDRTP
2.47,GOSOR,GHMTP
4.28,GOSOR,GLUTP
1.73,GOSOR,GNOOR
9.13,GOSOR,HPCTP
5.9,GOSOR,NNYTP
7.39,GOSOR,BBRTP
5.88,GOSOR,GAKTP
5.06,GOSOR,GDUTP
2.62,GOSOR,GHOTP
4.84,GOSOR,GMATP
4.82,GOSOR,GNWOR
8.84,GOSOR,HSZTP
6.98,GOSOR,NRDTP
3.66,HUNOR,AGATP
